,User,Date,Compound,Positive,Neutral,Negative
0,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
1,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
2,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.1326,0.102,0.765,0.133
3,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.6908,0.0,0.824,0.176
4,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.2732,0.11,0.89,0.0
5,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
6,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
7,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
8,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.5256,0.0,0.747,0.253
9,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.3191,0.109,0.837,0.054
10,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
11,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
12,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.4215,0.128,0.872,0.0
13,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.296,0.0,0.901,0.099
14,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
15,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
16,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.4404,0.0,0.847,0.153
17,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
18,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.5267,0.0,0.841,0.159
19,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.7783,0.1,0.613,0.287
20,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
21,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
22,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
23,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0,0.0,1.0,0.0
24,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.7717,0.0,0.661,0.339
25,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.7351,0.0,0.617,0.383
26,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,-0.4019,0.0,0.722,0.278
27,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.6369,0.189,0.811,0.0
28,@BBCNews,Wed Mar 14 01:03:30 +0000 2018,0.0516,0.159,0.725,0.116
